device_id,timestamp,latency_ms,packet_loss_percent,bandwidth_mbps
rtr-01,2026-05-10T08:00:00,42.5,0.2,850.0
rtr-01,2026-05-10T08:05:00,45.1,0.3,830.0
rtr-01,2026-05-10T08:10:00,210.4,12.5,120.0
s-02,2026-05-10T08:00:00,15.2,0.0,950.0
s-02,2026-05-10T08:05:00,120.7,6.1,400.0
s-02,2026-05-10T08:10:00,18.9,0.1,940.0
host-03,2026-05-10T08:00:00,8.4,0.0,100.0
host-03,2026-05-10T08:05:00,9.1,0.0,98.0
host-03,2026-05-10T08:10:00,300.0,15.0,10.0
rtr-01,2026-05-10T08:15:00,40.0,0.1,860.0
sw-02,2026-05-10T08:15:00,17.5,0.0,945.0
sw-99,2026-05-10T08:15:00,17.5,0.0,999.0
